ID,Title of Artwork,Year,Street Address,Address Data,Primary Artist,Type,Current Status,Property Ownership,Agency or Insitution,Stewardship Responsibility,Program ,Artist Assistants ,Architect,Creation/Dedication Date,Arts District,City,State,Zipcode,Location Name,Location Description,Related Property,Indoor/Outdoor Accessible,Medium,Description of Artwork,Subject (Person),Comments and Notes,Dimensions,Primary Artist Gender,Fabricator,Maintenance/ Conservation Reports on File,Maintenance/Conservation Notes,Save Outdoor Sculpture file on record,Funding Source,Wikipedia URL,osm_id,Council District,Neighborhood,Community Statistical Area (CSA),Latitude,Longitude,Point Data,Coordinate Accuracy,Modified
2004.009.BMP.LyKis,"[Figures, skyline, and rowhouses]",2004,325 N. Fulton Avenue,,Lyle Kissack,Mural,in place,,,,,MICA Community Arts Partnerships,,,,Baltimore,MD,21223,,Side of building facing Mulberry Street,,Outdoor,mural,People in the community,,Excellent condition,,Male,,,,,,,,9,Franklin Square,Southwest Baltimore,39.292718, -76.645214,,,
1945.001.CHAP.Unknown,Serviceman's Memorial,1945,Weldon Avenue and Falls Road,Intersection,Unknown,Monument,,Private Property,,,,,,,,Baltimore,MD,21211,,,,Outdoor,,,,,,,,,,,,,,7,Medfield,Medfield/Hampden/Woodberry/Remington,39.338342,-76.638122,,,
1935.001.CHAP.HaSch,Johns Hopkins Monument,1935,E. 33rd Street at Charles Street,Intersection,Hans K. Schuler,"Monument,Sculpture",,Mayor & City Council,Baltimore City Department of Recreation & Parks,,,,,,,Baltimore,MD,21230,,33rd St E at Charles St,"""Johns Hopkins University, Homewood Campus""",Outdoor,"bronze,marble",,Johns Hopkins,,170 x 186 x 53 in.,Male,,,,checked,,,node/2044048278,14,Johns Hopkins Homewood,Greater Charles Vill./Barclay,39.328076,-76.617966,,,7/17/2019 3:55pm
2009.006.BMP.LyKis,,2009,2798 The Alameda,,Lyle Kissack,Mural,in place,,,,Baltimore Mural Program (BOPA),Brian Probst,,,,Baltimore,MD,21218,,,,Outdoor,mural,,,,,Male,,,,,,,,14,Coldstream Homestead Montebello,Midway/Coldstream,39.323024,-76.593212,,,
1945.002.CHAP.Unknown,Veterans Monument,1945,Payson Street and Ramsey Street,Intersection,Unknown,"Monument,Sculpture",,,,,,,,,,Baltimore,MD,21217,,,,Outdoor,,,,,,,,,,,,,,9,Carrollton Ridge,Southwest Baltimore,39.282981,-76.648218,,,
1994.004.BMP.LyKis,,1994,1200 N. Mount Street,,Lyle Kissack,Mural,,,,,Baltimore Mural Program (BOPA),"Gerald Ross,Berneatta Barnes,Dedric Campbell,Danielle Coleman,Robert Coleman,Calvin Dorsey,Vernon",,,,Baltimore,MD,21223,,,,Outdoor,mural,,,,,Male,,,,,,,,9,Sandtown-Winchester,Sandtown-Winchester/Harlem Pk,39.302460,-76.644659,,,
2008.003.BMP.JoBer,Across the Waves?,2008,315 S. Highland Street,,Joel Bergner,Mural,,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21205,,,,,mural,,,,,Male,,,,,,,,1,Highlandtown,Highlandtown,39.288083,-76.568858,,,
2011.006.BMP.SuMil,Community Unity,2011,416 S. Monroe Street,,Sunny Miller,Mural,demolished,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21223,,,,Outdoor,mural,,,,,,,,,,,,,9,Carrollton Ridge,Southwest Baltimore,39.2818721,-76.6452892,,,
1998.009.BMP.ToMil,,1998,600 Cherry Hill Road,,Tom Miller,Mural,,,,,,Community youth,,,,Baltimore,MD,21225,,Side of building,,Outdoor,mural,Multiple scenes,,,,Male,,2005; 1991/1993,"Paint in good condition, one spot of paint rubbed off and cemented over at bottom, left",,,,,10,Cherry Hill,Cherry Hill,39.250559,-76.622220,,,
2004.007.BMP.ShJam,,2004,1620 Bush Street,,Shawn James,Mural,in place,,,,,Mural Masters,,,,Baltimore,MD,21230,,Side of building,,Outdoor,mural,Gwynns Falls Trail; peace sign,,Excellent condition,,Male,,,,,,,,10,Carroll - Camden Industrial Area,Washington Village,39.27469956751287,-76.63308018899397,,,
1975.014.BWB.JaAda,,1975,3101 Pulaski Highway,,James Adajian,Mural,"""Mural Missing- no longer visible, removed, or repainted"",missing",,,City of Baltimore - BOPA,Beautiful Walls for Baltimore (BOPA),Theodore Shannon,,,,Baltimore,MD,21224,,South side of house facing Robinson Street,,Outdoor,painted mural,No Longer Visible,,,,Male,,,,,,,,11,Downtown,Downtown/Seton Hill,39.2952311,-76.5732271,,,
1975.028.BWB.MoGos,,1975,498 Payson Street,,Monique Goss,Mural,"""Mural Missing- no longer visible, removed, or repainted"",missing",,,City of Baltimore - BOPA,Beautiful Walls for Baltimore (BOPA),Robert Maddox,,,,Baltimore,MD,21223,,South Facing Wall,,Outdoor,painted mural,No longer visible,,,,Female,,,,,,,,9,Carrollton Ridge,Southwest Baltimore,39.2816469,-76.6478269,,,
1977.017.BWB.KiDav,,1977,Collington & Fayette Street,Intersection,Kim Davenport,Mural,,,,City of Baltimore - BOPA,Beautiful Walls for Baltimore (BOPA),"Bonnie Yanks,Neal Gallico",,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,Female,,,,,,,,13,Butcher's Hill,Patterson Pk N&E,39.294121,-76.586249,,,
1976.023.BWB.RoHie,,1976,Lawrence & Fort Avenue,Intersection,Robert Hieronimus,Mural,"""Mural Missing- no longer visible, removed, or repainted"",missing",,,City of Baltimore - BOPA,Beautiful Walls for Baltimore (BOPA),"Ronald Spencer,Jennifer Gibbs",,,,Baltimore,MD,21230,,,,Outdoor,painted mural,No longer visible,,,,Male,,,,,,,,,,South Baltimore, 39.271724,-76.601442,,,
1977.016.BWB.RoCoo,,1977,Lombard & Schroeder Street,Intersection,Rodney Cook,Mural,,,,City of Baltimore - BOPA,Beautiful Walls for Baltimore (BOPA),"Nicholas Aumiller,Maureen Mullaney",,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,Male,,,,,,,,9,Hollins Market,Poppleton/The Terraces/Hollins Mkt,39.286622,-76.634017,,,
1975.017.BWB.GuJon,,1975,2234 Druid Hill Drive,,Guy Jones,Mural,"""Mural Missing- no longer visible, removed, or repainted"",missing",,,City of Baltimore - BOPA,Beautiful Walls for Baltimore (BOPA),Lorraine Smith,,,,Baltimore,MD,21217,,North Side of Building,,Outdoor,painted mural,No longer visible,,,,Male,,,,,,,,7,Druid Heights,Upton/Druid Hts,39.309648,-76.6402272,,,
1975.021.BWB.NeGal,,1975,1230 Light Street,,Neal Gallico,Mural,Mural damaged- severely faded or tagged (possible to repair),,,City of Baltimore - BOPA,Beautiful Walls for Baltimore (BOPA),Rodney Cook,,,,Baltimore,MD,21230,,North Side of Building,,Outdoor,painted mural,In-Fill Building covering mural,,,,Male,,,,,,,,,,Inner Harbor/Federal Hill, 39.275251,-76.612308,,,
1975.024.BWB.RoHie,,1975,920 W. 36th Street,,Robert Hieronimus,Mural,Mural replaced with new design,,,City of Baltimore - BOPA,Beautiful Walls for Baltimore (BOPA),Jennifer Gibbs,,,,Baltimore,MD,21211,,North Side of Building,,Outdoor,painted mural,Mural has been replaced by a new design by the same artist,,,,Male,,,,,,,,14,Hampden,Medfield/Hampden/Woodberry/Remington,39.330945,-76.632407,,,
2015.001.AaW.ErSha,Upton Boxing Center Mural,2015,1901 Pennsylvania Avenue,,"""Ernest Shaw, Jr.""",Mural,in place,,,,Art@Work Sandtown (BOPA),"Najee Adams,Courtney Edwards,Ruthvin Elbourne III,Katelyn Evans,Zachiya Gaines,Zanaide Gaines,Audacious Hopkins,Aryon Murphy,Rodregues Ross",,6/1/2015,,Baltimore,MD,21217,,,,Outdoor,mural,,,,,Male,,,,,,,,11,Upton,Upton/Druid Hts,39.30541195,-76.63677473,,,6/16/2022 10:19pm
2015.002.AaW.GaMul,Inspiration,2015,2411 Pennsylvania Avenue,,Gary Mullen,Mural,in place,,,,Art@Work Sandtown (BOPA),"Jovon Coles,Mya Dorsey,Autumn Hughes,Corey Kelly,Destiny Kelly,Tatyanna Pulley,Avery Williams,Briana Williams",,6/1/2015,,Baltimore,MD,21217,,,,Outdoor,mural,,,,,Male,,,,,,,,7,Druid Heights,Upton/Druid Hts,39.309621,-76.641651,,,
2015.003.AaW.MeLew,The Thoughts in my Head,2015,1855 Kavanaugh Street,,Megan Lewis,Mural,in place,,,,Art@Work Sandtown (BOPA),"Eric Hendricks III,Talia England,Shamon Hutton,Antoine James Jr.,Asia Johnson,Jazz Kearse,Brandon Taylor,Deshawn Battle,Shomar Buie",,6/1/2015,,Baltimore,MD,21217,,,,Outdoor,mural,,,,,Female,,,,,,,,7,Sandtown-Winchester,Sandtown-Winchester/Harlem Pk,39.304604,-76.647688,,,
2015.004.AaW.AmShe,The Bridge of Empowerment,2015,1200 N. Mount Street,,Amy Sherald,Mural,in place,,,,Art@Work Sandtown (BOPA),"Aiyana Brown,Angela Davenport,Brenna Firlie,Diamond Floyd,Samirah Franklin,Akia Jones,Tiasia Kees,Jvon Mackel Jr.,Tailyn Robinson,Darrel Singletary",,6/1/2015,,Baltimore,MD,21217,,,,Outdoor,mural,,,,,Female,,,,,,,,9,Sandtown-Winchester,Sandtown-Winchester/Harlem Pk,39.302500,-76.644562,,,
2015.005.AaW.PaPhi,Baltimore Rising,2015,1707 Lorman Street,,Paula Phillips,Mural,in place,,,,Art@Work Sandtown (BOPA),"Dereek Fields,Raekwon Griffin,Ayden Moore,Donta Paul,Shabrya Pretlow,Kennedy Thomas,Morgan Woods,Troy Gaither,Kornesha Braxton",,6/1/2015,,Baltimore,MD,21217,,,,Outdoor,mural,,,,,Female,,,,,,,,7,Sandtown-Winchester,Sandtown-Winchester/Harlem Pk,39.30384,-76.645294,,,
2015.007.AaW.MiTho,Sandtown-Ndebele Mural,2015,Gilmor and Laurens Streets,Intersection,Mike Thomas,Mural,in place,,,,Art@Work Sandtown (BOPA),"Talaya Goodwyn,Darius Hance,Deyonta Hosear,Marcus Richardson,Jada Talbert,Kevin Thompson,Arin Waters,Cameron Wiley",,6/1/2015,,Baltimore,MD,21217,,,,Outdoor,mural,,,,,Male,,,,,,,,7,Sandtown-Winchester,Sandtown-Winchester/Harlem Pk,39.303303,-76.643113,,,
2015.008.AaW.HeMas,The Oasis,2015,1200 block of N. Stricker Street,Block,Herb Massie,Mural,in place,,,,Art@Work Sandtown (BOPA),"Tori Brooks,Tonae Brown,Louis Brown,Joshua Degraffinried,JaQuinna Hill,Ty'Kira Jackson,Kierra Ledbetter,Mordecai Wells,Destinee Williams",,6/1/2015,,Baltimore,MD,21217,,,,Outdoor,mural,,,,,Male,,,,,,,,9,Sandtown-Winchester,Sandtown-Winchester/Harlem Pk,39.302785,-76.641768,,,10/3/2019 9:20pm
2016.001.AaW.ErSha,Cosmogram,2016,1707 Pennsylvania Avenue,,"""Ernest Shaw, Jr.""",Mural,in place,,,,Art@Work Upton (BOPA),"Hee Jun Ahn,Asia Carr,Kaliyah Davenport,Mya Dorsey,Shannon Green,Donna Lindsay,Malachi Pearson,Kaiylah Phillips,Deshawn Richards,Rickeira Robinson,Asia Skinner",,6/1/2016,,Baltimore,MD,21217,,,,Outdoor,mural,,,,,Male,,,,,,,node/7835537916,11,Upton,Upton/Druid Hts,39.30378, -76.634785,,,8/22/2020 1:51pm
2016.002.AaW.GaMul,Umoja,2016,1701 Pennsylvania Avenue,,Gary Mullen,Mural,in place,,,,Art@Work Upton (BOPA),"McKinley Wallace,Larnar Conway,Qeyara Evans,Sam Fissel,Antoine James Jr.,Maliyah Johnson,Daisia Savage,Ishay Singletary,Asia Skinner,Daria Young",,6/1/2016,,Baltimore,MD,21217,,,,Outdoor,mural,,,,,Male,,,,,,,,11,Upton,Upton/Druid Hts,39.303871,-76.635407,,,
2016.003.AaW.HeMas,Pieces of a Dream,2016,1900 Division Street,,Herb Massie,Mural,in place,,,,Art@Work Upton (BOPA),"Danae Bell,Moenira Baker,Sierra Barns,Quincy Burton,Travon Burton,Sanarda Glenn,Audacious Hopkins,Noah Howard,Kierra Ledbetter,Terence Purvis Jr.,Destinee Williams,Terence Price",,6/1/2016,,Baltimore,MD,21217,,,,Outdoor,mural,,,,,Male,,,,,,,,11,Druid Heights,Upton/Druid Hts,39.30634, -76.635982,,,
2016.005.AaW.IgLar,The Baltimore We Want To See...,2016,1800 Pennsylvania Avenue,,Ignacio Mariño Larrique,Mural,in place,,,,Art@Work Upton (BOPA),"Simon Jackson-Forsberg,Tariq Sabur,Asantewa Augustus-El,Antonio Beads Jr.,Travon Burton,Katia Crawford,Kayla Harvey,Akia Jones,Leah Mccollum,Diamondnae Richardson,William Walker",,6/1/2016,,Baltimore,MD,21217,,,,Outdoor,mural,,,,,Male,,,,,,,,11,Upton,Upton/Druid Hts,39.304580,-76.636035,,,
2016.006.AaW.JuHor,Etting Park: Hope Garden,2016,1701 Division Street,,Julie Anne Horton,Mural,in place,,,,Art@Work Upton (BOPA),"Amelia Carrol,Jazmine Cummings,Shamarr Elbourne,Katelyn Evans,Lance Gaines III,Marcellus Hall,Jache Haynie,Cameron Howell,Raquwon Rowell,Tamera Whaley,Kennedy Thomas",,6/1/2016,,Baltimore,MD,21217,,,,Outdoor,mural,,,,,Female,,,,,,,way/839693110,11,Upton,Upton/Druid Hts,39.304619, -76.633465,,,4/23/2021 11:24pm
2016.007.AaW.MeLew,Miss Understood,2016,1601 Pennsylvania Avenue,,Megan Lewis,Mural,in place,,,,Art@Work Upton (BOPA),"Kenneth C. Clemons,James Bagley Jr.,Corzeck Carlton Jr.,Roshay Gaskins,Autumn Hughes,Kevin Johnson,Tracy Tafts Jr.,Antione Williams,Avery Williams,Arjene Wilson",,6/1/2016,,Baltimore,MD,21217,,,,Outdoor,mural,,,,,Female,,,,,,,,11,Upton,Upton/Druid Hts,39.303311,-76.633745,,,
2016.008.AaW.MiTho,Lift Every Voice & Sing/ Young Gifted and Black,2016,1700 Pennsylvania Avenue,,Michael A. Sr. Thomas,Mural,in place,,,,Art@Work Upton (BOPA),"Alexis Dixon,De Narsha Boone,Daryl Chatman Jr.,Ruthvin Elbourne III,Jordan Miller Mack,Dejai Padgett,Sha-Shonna Rogers,Rodregues Ross,Cameron Wiley,Chyna Williams,Jariya Wimbley",,6/1/2016,,Baltimore,MD,21217,,,,Indoor,mural,,,,,Male,,,,,,,,11,Upton,Upton/Druid Hts,39.303655,-76.635917,,,
1974.011.WPP.StLoo,,1974,2601 E. Baltimore Street,,Stephen Loos,Mural,,,,,Wall Painting Project,,,,,Baltimore,MD,21224,,,,,painted mural,,,,,Male,,,,,,,,1,Patterson Park,Canton,39.290128,-76.5836527,,,
1974.016.WPP.DaWil,,1974,Barclay Street and Chase Street,Intersection,Daniel Williams,Mural,demolished,,,,Wall Painting Project,,,,,Baltimore,MD,21202,,,,,painted mural,,,,,Male,,,,,,,,12,Johnston Square,Greenmount East,39.303002, -76.610168,,,
1974.017.WPP.DoDun,,1974, 500 Holliday Street,,Donald Duncan,Mural,,,,,Wall Painting Project,,,,,Baltimore,MD,,,Police Stables (Entrance on Fallsway),,,painted mural,,,,,Male,,,,,,,,,,Oldtown/Middle East,39.295744,-76.610170,Updated,,
1974.019.WPP.NaThu,[Abstract geometric mural],1974,1811 McCulloh Street,,Nancy Thurlow,Mural,,,,,Wall Painting Project,,,,,Baltimore,MD,21217,,,,,painted mural,,,,,Female,,,,,,,,11,Madison Park,Upton/Druid Hts,39.306903,-76.632926,,,6/11/2019 7:10pm
1974.018.WPP.RoJoh,,1974,Druid Hill Avenue & Jasper Street,Intersection,Robert Johnson,Mural,"removed,demolished",,,,Wall Painting Project,,,,,Baltimore,MD,21201,,,,,painted mural,,,,,Male,,,,,,,,11,Seton Hill,Downtown/Seton Hill,39.2958549,-76.6219222,,,
1974.012.WPP.AuSch,[Group of beveled rectangles],1974,1631 Mulberry Street,,August Bill Schmidt,Mural,in place,,,,Wall Painting Project,,,,,Baltimore,MD,21223,,,,Outdoor,painted mural,,,,,,,,,,,,,9,Franklin Square,Southwest Baltimore,39.292900, -76.643870,,,6/16/2022 10:45pm
1974.020.WPP.HiBro,,1974,1741 Park Avenue,,Hilton,Mural,,,,,Wall Painting Project,,,,,Baltimore,MD,21217,,,,,painted mural,,,,,Male,,,,,,,,11,Bolton Hill,Midtown,39.310405,-76.627748,,,
2007.019.XXX.MiSan,Ancestral Roots,2007,,Missing,Michelle Santos,,,,,,,Pontella Mason,,8/25/2007,,Baltimore,MD,,,,,,,,,,,Female,,,,,,,,10,Cherry Hill,Cherry Hill,39.2529063,-76.6233382,,,
2006.011.XXX.SeOno,Ecstacy of Love,2006,,Missing,Setsuko Ono,Sculpture,in place,Mayor & City Council,,Downtown Partnership of Baltimore,,,,,,Baltimore,MD,,,,McKeldin Square,Outdoor,,,,Relocated and reinstalled following the demolition of the McKeldin Fountain,412 x 244 x 304 cm. (13.5 x 8 x 10 ft.),Female,,,,,,,,,,,39.2862564,-76.6130009,,,8/1/2021 10:41pm
2005.008.BMP.GaMul,O Baltimore,2005,1700 E. North Avenue,,Gary Mullen,Mural,in place,,,,Baltimore Mural Program (BOPA),Youth Works,,7/1/2005,,Baltimore,MD,21213,,,,Outdoor,mural,,,,,Male,,,,,,,,12,South Clifton Park,Clifton-Berea,39.312305,-76.594270,,,
,Baltimore Bar Memorial Column,,111 N. Calvert Street,,Unknown,Monument,in place (check),Mayor & City Council,Baltimore City Department of General Services,,,,,,,Baltimore,MD,21202,,,,Indoor,,,,,,,,,,,,,,11,Downtown,Downtown/Seton Hill,39.29078843861703,-76.61229685689682,,,7/17/2019 3:50pm
,Baltimore City College Vietnam War Memorial,2004,3220 The Alameda,,Unknown,Memorial,,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",,,,,,Baltimore,MD,21218,,,Baltimore City College,Outdoor,,,,,,,,,,,,,,14,Better Waverly,The Waverlies,39.3257539,-76.6002235,,,5/15/2019 4:32pm
,Baltimore Love Mural #2,2015,Gwynn Falls Trail Head at Carroll Park,,Michael Owen,Mural,,,,,Baltimore Love Project,,,,,Baltimore,MD,21230,,,,Outdoor,painted mural,,,,,Male,,,,,,,,,,, 39.271876,-76.647251,Approximate,,
,Baltimore Love Mural #10,2015,1624 Eutaw Place,,Michael Owen,Mural,,Mayor & City Council,Baltimore City Public Schools,,Baltimore Love Project,,,,,Baltimore,MD,,,Located on south side of building on a bridge attached to the back.,Eutaw Marshburn ES,Outdoor,painted mural,,,,,Male,,,,,,,,,,Midtown, 39.306186,-76.629903,,,5/15/2019 4:20pm
,[Open Walls Baltimore mural],2012,1 W. North Avenue,,Gaia,Mural,painted over,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,Male,,,,,,,,,,,39.310836,-76.616664,,,
,Open Walls Baltimore [Wonderground],2012, 401 E. Lanvale Street,Intersection,Gary Kachadourian,Mural,,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,Male,,,,,,,,,Greenmount West,,39.308786,-76.6106258,,,
,[Open Walls Baltimore mural],2012, 1803 Barclay Street,,Jetsonorama,Mural,painted over,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,,,,,,,,,,,,39.310432,-76.610667,,,
,[Open Walls Baltimore mural],2012,1915 Maryland Avenue,,Intersni Kazki,Mural,,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,,,,,,,,,,,,39.311634,-76.617814,,,
,[Open Walls Baltimore mural],2012, 1815 Barclay Street,,Sten and Lex,Mural,,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,21202,,,,Outdoor,painted mural,,,,,,,,,,,,,,,, 39.310739,-76.610718,,,
,Walk the Line,2012, 105 E. Lafayette Avenue,,"Katey Truhn,Jessie Unterhalter",Mural,,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,"Female, Female",,,,,,,,,,,39.309677,-76.614592,,,
,[Open Walls Baltimore mural],2012,1539 N. Calvert Street,,Doodles,Mural,,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,,,,,,,,,12,Greenmount West,Midtown,39.307638,-76.613294,,,
,[Open Walls Baltimore mural],2012,1702 Latrobe Street,,Mata Ruda,Mural,,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,,,,,,,,,12,Greenmount West,Midtown,39.309338,-76.611680,,,
,[Open Walls Baltimore mural],2012, 331 E. Lanvale Street,,Nanook,Mural,,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,Male,,,,,,,,,,, 39.308800,-76.610893,,,8/5/2019 11:10am
,[Open Walls Baltimore mural],2012,10 E. North Avenue,,Ever,Mural,painted over,,,,Open Walls Baltimore 1,,,,Station North Arts & Entertainment District,Baltimore,MD,,,,,Outdoor,painted mural,,,,,,,,,,,,,,,,39.3117087,-76.6155478,,,4/23/2021 11:05pm
,[Open Walls Baltimore mural],2012,133 W. North Avenue,,Specter,Mural,in place,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,,,,,,,,,,,,39.310674,-76.619054,,,11/1/2019 10:15pm
,[Open Walls Baltimore mural],2012, 1727 N. Charles Street,,Freddy Sam,Mural,,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,21201,,,,Outdoor,painted mural,,,,,Male,,,,,,,,,,,39.309667,-76.616154,,,
,[Open Walls Baltimore mural],2012,329 E. Lafayette Street,,Overunder,Mural,,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,Male,,,,,,,,,,,39.309857,-76.610961,,,8/5/2019 11:13am
,[Open Walls Baltimore mural],2012,Saint Paul Street and E. North Avenue,Intersection,Gary Kachadourian,Mural,,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,Male,,,,,,,,,,,,,Missing,,9/10/2019 10:56am
,[Open Walls Baltimore mural],2012,,Missing,Swoon,Mural,,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,Female,,,,,,,,,,,,,Missing,,
,[Open Walls Baltimore mural],2012,1539 N. Calvert Street,,Vhils,Mural,,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,Male,,,,,,,,12,Greenmount West,Midtown,39.307638,-76.613294,,,
,[Open Walls Baltimore mural],2012,1703 Latrobe Street,,Chris Stain,Mural,in place,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,Male,,,,,,,,11,Locust Point,South Baltimore,39.309338,-76.611399,,,10/25/2019 10:54am
,[Open Walls Baltimore mural],2012, 404 E. Oliver Street,,Jaz,Mural,,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,21202,,,,Outdoor,painted mural,,,,,,,,,,,,,,,, 39.307035,-76.610470,,,
,[Open Walls Baltimore mural],2012,440 E. Oliver Street,,Momo,Mural,,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,,,,,,,,,12,Greenmount West,Midtown,39.307065,-76.609415,,,
,[Open Walls Baltimore mural],2012, 1913 Guilford Avenue,,Josh Van Horn,Mural,,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,21218,,,,Outdoor,painted mural,,,,,Male,,,,,,,,,,,39.311768,-76.611619,,,
,[Open Walls Baltimore mural],2012,1714 N. Charles Street,,Maya Hayuk,Mural,,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,Female,,,,,,,,14,Charles Village,Greater Charles Vill./Barclay,39.309196,-76.616691,,,
,[Open Walls Baltimore mural],2012,,Missing,John Ahearn,Mural,,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,Male,,,,,,,,,,,,,Missing,,
,[Articulate: Baltimore mural],2012,211 W. Mulberry Street,Missing,Pixel Pancho,Mural,demolished,,,,Articulate: Baltimore,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,Male,,,,,,,,,,,39.293819,-76.618711,,,8/21/2020 9:07pm
,[Articulate: Baltimore mural],2012,Howard Street and N. Franklin Street,Missing,HKS 181,Mural,,,,,Articulate: Baltimore,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,,,,,,,,,,,,39.294802,-76.619648,,,8/21/2020 9:07pm
,[Articulate: Baltimore mural],2012,610 N. Howard Street,Missing,Never2501,Mural,,,,,Articulate: Baltimore,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,,,,,,,,,,,,39.297113,-76.620260,,,8/21/2020 9:07pm
,[Articulate: Baltimore mural],2012,416 N. Howard Street,Missing,"Jesse Unterhalter,Katey Truhn",Mural,,,,,Articulate: Baltimore,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,"Female, Female",,,,,,,,,,,39.294561,-76.620004,,,8/21/2020 9:07pm
,[Articulate: Baltimore mural],2012,414-416 N. Howard Street,,"J. Digital,Stefan Ways",Mural,,,,,Articulate: Baltimore,,,,,Baltimore,MD,21201,,,,Outdoor,painted mural,,,,,Male,,,,,,,,12,Charles North,Greater Charles Vill./Barclay,39.2895989,-76.6191317,,,8/21/2020 9:07pm
,[Articulate: Baltimore mural],2012,406 Park Avenue,,INDIGO,Mural,in place (check),,,,Articulate: Baltimore,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,,,,,,,,,11,Downtown,Downtown/Seton Hill,39.294352,-76.618455,address,,8/21/2020 9:07pm
,[Articulate: Baltimore mural],2012,407 N. Howard Street,Intersection,"Chris Stain,Billy Mode",Mural,painted over,,,,Articulate: Baltimore,,,,,Baltimore,MD,21201,,,,Outdoor,painted mural,,,,,"Male, Male",,,,,,,,,,,39.294207,-76.619128,,,8/21/2020 9:07pm
,[Open Walls Baltimore 2 mural],2014,407 Federal Street,,D'Metrius Rice,Mural,painted over,,,,Open Walls Baltimore 2,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,Male,,,,,,,,,,,39.307760,-76.610426,,,
,[Open Walls Baltimore 2 mural],2014,2011 Maryland Avenue,,Logan Hicks,Mural,damaged/disrepair,,,,Open Walls Baltimore 2,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,,,,,,,,,,,,39.312529,-76.617657,,,
,[Open Walls Baltimore 2 mural],2014,401 E. Lafayette Street,,"""Ernest Shaw, Jr.""",Mural,,,,,Open Walls Baltimore 2,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,Male,,,,,,,,,,,39.309852,-76.610700,,,8/5/2019 10:56am
,[Open Walls Baltimore 2 mural],2014,1719 N. Calvert Street,,Betsy Casañas,Mural,,,,,Open Walls Baltimore 2,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,Female,,,,,,,,,,,39.309452,-76.613425,,,
,[Open Walls Baltimore 2 mural],2014,2130 N. Calvert Street,,El Decertor,Mural,,,,,Open Walls Baltimore 2,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,,,,,,,,,,,,39.314200,-76.614190,,,8/5/2019 10:58am
,[Open Walls Baltimore 2 mural],2014,2029 Saint Paul Street,,Nanook,Mural,,,,,Open Walls Baltimore 2,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,Male,,,,,,,,,,,39.313113,-76.614874,,,
,[Open Walls Baltimore 2 mural],2014,326 Federal Street,,LNY (Lunar New Year),Mural,,,,,Open Walls Baltimore 2,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,Male,,,,,,,,,,,39.308014,-76.611432,,,
